Country Name,Country Code,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020
Aruba,ABW,0.912M,0.957M,0.947M,0.906M,0.972M,1.211M,1.178M,1.225M,1.184M,1.304M,1.286M,1.285M,1.254M,1.383M,1.42M,1.394M,1.469M,1.481M,1.667M,1.739M,1.832M,1.758M,1.863M,1.897M,1.951M,
Africa Eastern and Southern,AFE,11.584M,13.089M,13.456M,14.404M,15.309M,15.353M,15.855M,17.383M,17.844M,18.746M,19.918M,22.65M,25.115M,25.413M,25.964M,29.072M,31.65M,32.749M,34.427M,35.738M,35.319M,37.646M,38.258M,41.189M,39.827M,
Afghanistan,AFG,,,,,,,,,,,,,,,,,,,,,,,,,,
Africa Western and Central,AFW,2.671M,3.027M,3.243M,3.423M,3.898M,4.163M,4.616M,4.697M,5.013M,5.839M,6.321M,6.956M,9.39M,10.158M,10.57M,11.071M,8.902M,10.221M,10.086M,10.545M,13.312M,13.151M,,,,
Angola,AGO,0.009M,0.021M,0.045M,0.052M,0.045M,0.051M,0.067M,0.091M,0.107M,0.194M,0.21M,0.121M,0.195M,0.294M,0.366M,0.425M,0.481M,0.528M,0.65M,0.595M,0.592M,0.397M,0.261M,0.218M,0.218M,
Albania,ALB,0.304M,0.287M,0.119M,0.184M,0.371M,0.317M,0.354M,0.47M,0.557M,0.645M,0.748M,0.937M,1.127M,1.42M,1.856M,2.417M,2.932M,3.514M,3.256M,3.673M,4.131M,4.736M,5.118M,5.927M,6.406M,2.658M
Andorra,AND,,,,,9.422M,10.991M,11.351M,11.507M,11.601M,11.668M,11.049M,10.737M,10.743M,10.194M,9.112M,8.551M,7.983M,7.9M,7.676M,7.797M,7.85M,8.025M,8.152M,8.328M,8.235M,5.207M
Arab World,ARB,,,,,,,,,,80.985M,82.98M,89.388M,99.187M,115.509M,113.944M,130.382M,109.79M,122.65M,122.58M,130.621M,122.564M,115.22M,122.153M,131.893M,142.448M,
United Arab Emirates,ARE,,,,,,,,,,,,,,,,,,,,,19.313M,20.894M,21.805M,23.092M,25.282M,8.084M
Argentina,ARG,2.289M,2.614M,2.764M,3.012M,2.898M,2.909M,2.62M,2.82M,2.995M,3.457M,3.823M,4.173M,4.562M,4.7M,4.308M,6.8M,6.703M,6.497M,6.51M,7.165M,6.816M,6.668M,6.711M,6.942M,7.399M,
Armenia,ARM,0.012M,0.013M,0.023M,0.032M,0.041M,0.045M,0.123M,0.162M,0.206M,0.263M,0.319M,0.382M,0.511M,0.558M,0.575M,0.684M,0.758M,0.963M,1.084M,1.204M,1.192M,1.26M,1.495M,1.652M,1.894M,0.375M
American Samoa,ASM,0.034M,0.035M,0.026M,0.036M,0.041M,0.044M,0.036M,,,,0.024M,0.025M,0.024M,0.024M,0.024M,0.023M,0.023M,0.023M,0.021M,0.022M,0.02M,0.02M,0.02M,0.02M,0.019M,0.001M
Antigua and Barbuda,ATG,0.447M,0.498M,0.526M,0.57M,0.56M,0.634M,0.624M,0.528M,0.623M,0.769M,0.712M,0.838M,0.935M,0.863M,0.944M,0.788M,0.848M,0.819M,0.777M,0.771M,0.894M,0.874M,1.04M,1.064M,1.035M,0.384M
Australia,AUS,3.726M,4.165M,4.318M,4.167M,4.459M,4.931M,4.856M,4.841M,4.746M,5.215M,5.499M,5.532M,5.644M,5.586M,5.49M,5.79M,5.771M,6.032M,6.482M,6.922M,7.449M,8.269M,8.815M,9.246M,9.466M,1.828M
Austria,AUT,17.173M,17.09M,16.647M,17.352M,17.467M,17.982M,18.18M,18.611M,19.078M,19.374M,19.952M,20.269M,20.773M,21.935M,21.355M,22.004M,23.012M,24.151M,24.813M,25.291M,26.728M,28.121M,29.46M,30.816M,31.884M,15.091M
Azerbaijan,AZE,0.093M,0.21M,0.306M,0.483M,0.602M,0.681M,0.767M,0.834M,1.038M,1.279M,1.177M,1.194M,1.333M,1.899M,1.83M,1.963M,2.239M,2.484M,2.509M,2.298M,2.006M,2.249M,2.697M,2.85M,3.17M,0.796M
Burundi,BDI,0.034M,0.027M,0.011M,0.015M,0.026M,0.029M,0.036M,0.074M,0.074M,0.133M,0.148M,0.214M,0.192M,0.202M,0.212M,0.142M,0.144M,0.147M,0.234M,0.235M,0.131M,0.187M,0.299M,,,
Belgium,BEL,5.56M,5.829M,6.037M,6.179M,6.369M,6.457M,6.452M,6.72M,6.69M,6.71M,6.747M,6.995M,7.045M,7.165M,6.815M,7.186M,7.494M,7.56M,7.684M,7.887M,8.355M,7.481M,8.385M,9.119M,9.343M,2.584M
Benin,BEN,0.58M,0.516M,0.541M,0.575M,0.941M,1.068M,1.155M,0.853M,0.85M,0.845M,0.96M,0.975M,1.01M,1.027M,,,0.222M,0.232M,0.252M,0.265M,0.279M,0.292M,0.307M,0.322M,0.337M,
Burkina Faso,BFA,0.124M,0.131M,0.138M,0.16M,0.117M,0.126M,0.128M,0.15M,0.163M,0.222M,0.245M,0.264M,0.289M,0.272M,0.269M,0.274M,0.238M,0.237M,0.218M,0.191M,0.163M,0.152M,0.143M,0.144M,0.143M,0.067M
Bangladesh,BGD,0.156M,0.166M,0.182M,0.172M,0.173M,0.199M,0.207M,0.207M,0.245M,0.271M,0.208M,0.2M,0.289M,0.467M,0.267M,0.139M,0.157M,0.16M,0.104M,0.134M,0.126M,0.182M,0.237M,0.267M,0.323M,
Bulgaria,BGR,8.005M,6.811M,7.543M,5.24M,5.056M,4.922M,5.104M,5.563M,6.241M,6.982M,7.282M,7.499M,7.726M,8.533M,7.873M,8.374M,8.713M,8.867M,9.192M,9.409M,9.317M,10.604M,11.596M,12.368M,12.552M,4.973M
Bahrain,BHR,2.311M,1.988M,2.6M,2.898M,3.28M,3.869M,4.388M,4.831M,4.844M,5.667M,6.313M,7.289M,7.833M,8.631M,8.861M,11.952M,6.732M,8.062M,9.163M,10.452M,9.67M,10.158M,11.374M,12.045M,11.061M,1.909M
"Bahamas, The",BHS,3.239M,3.416M,3.446M,3.348M,3.648M,4.204M,4.183M,4.406M,4.594M,5.004M,4.779M,4.731M,4.601M,4.394M,4.645M,5.255M,5.588M,5.94M,6.151M,6.32M,6.112M,6.265M,6.136M,6.622M,7.25M,1.794M
Bosnia and Herzegovina,BIH,,,0.115M,0.148M,0.147M,0.171M,0.139M,0.16M,0.165M,0.19M,0.217M,0.256M,0.306M,0.322M,0.311M,0.365M,0.392M,0.439M,0.529M,0.536M,0.678M,0.778M,0.923M,1.053M,1.198M,0.197M
Belarus,BLR,,,,,,2.03M,1.852M,1.907M,1.729M,1.816M,4.738M,5.276M,5.283M,5.262M,4.872M,5.674M,5.877M,6.13M,6.242M,5.375M,4.386M,10.935M,11.06M,11.502M,11.832M,3.598M
Belize,BLZ,0.342M,0.349M,0.305M,0.3M,0.34M,0.374M,0.385M,0.694M,0.999M,1.329M,1.037M,0.903M,0.88M,0.846M,0.941M,1.054M,1.106M,1.028M,1.022M,1.289M,1.299M,1.391M,1.441M,1.697M,1.674M,0.487M
